'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached',Inactive','Dirty','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Cluster
172392,170340,32868,31920,200,45,4597988,167712,1117480,436032,933424,40,0,84264,23844,110412,7204,313552,2040,"-1,592681507","-1,228303643","0,6850000867","1,5571385213","0,707223742","1,0273061634","-0,303607413","-0,026785376","-0,001929949",26
185964,179100,41280,35852,228,79,4564384,193676,1117972,475628,924208,156,0,88404,23848,113888,7236,326608,1530,"0,9855324608","-0,35099","0,1559138859","0,6689637437","0,2766561574","0,911807014","-0,383677605","0,0038039801","0,1191281461",27
172392,170340,32868,31920,200,26,4598620,167512,1117476,435912,933336,152,0,84260,23844,110440,7208,314252,1530,"-1,450296407","-1,109860752","0,4999891153","0,5673236636","0,2400423255","0,0456204365","-0,304102517","-0,083419662","-0,059026993",28
172392,170340,32868,30848,200,49,4593904,172664,1117616,439972,933500,152,0,83192,23844,110512,7208,318924,1530,"-1,248142663","-1,089365935","0,472677118","0,4008267711","0,0777531846","0,569334096","-0,2781395","-0,074770074","-0,010097247",29
192256,184428,43804,37168,252,72,4556736,199368,1118164,490556,916488,16,0,89312,23864,113316,7160,332788,510,"2,0783805259","-0,009500657","-0,820733153","-1,553244036","-0,299746351","-0,407390803","-0,616716824","1,0278262725","-0,233928866",30
192256,185444,43804,37600,252,100,4556264,199112,1118152,489952,917252,172,0,90184,23848,113856,7036,332608,1020,"1,7782331412","-0,523547006","-1,164249798","-0,87859601","0,6057834586","0,8611964861","-0,874335291","2,4657300848","-0,608614141",31
208184,199992,55500,49372,296,161,4540544,203884,1118376,514852,909116,172,0,101696,23848,112688,7300,341360,1020,"5,4703609762","2,0302286455","-0,900206381","0,2431052119","0,1955076274","1,1752165485","0,4576337064","0,3402734241","-0,097033262",32
215352,210232,61784,57132,316,161,4532052,204320,1118448,523996,908228,152,0,109480,23848,113048,7324,350508,1020,"7,2532111333","2,9587074017","-1,16325538","0,8235974501","0,6532538837","0,7545083055","0,6884403391","0,5197649399","-0,35568763",33
215352,208184,61784,55828,316,161,4532912,204292,1118448,522540,908316,40,0,108144,23848,112712,7320,348876,510,"7,2298946264","3,0008568799","-1,406023411","-0,366198714","0,0540122432","0,2141077218","0,7512359594","0,5152992552","-0,378168663",34
215352,206136,61784,53204,312,9,4538972,204504,1118472,520620,907880,144,0,105548,23848,110196,7320,348032,510,"6,17947506","2,3993732797","-1,065545558","0,3253591309","0,7638611504","-2,743946763","-0,433157781","0,169880719","-0,015003919",35
215352,206136,61784,53204,312,9,4539096,204588,1118488,520972,907624,148,0,105544,23848,110168,7320,346304,1020,"5,9329900257","2,2263740679","-0,821858487","1,4233039189","1,3142611407","-2,148753636","-0,553674072","0,1508009395","0,0912820842",36
153484,151436,26612,26468,160,45,5160008,83244,656460,230156,597448,221152,0,87804,25312,89796,7796,304888,2040,"-5,371396217","9,71912351","14,485669629","3,3380943487","-6,206520432","-0,507538234","1,8294467763","2,8313315094","7,3818710474",37
170344,170340,31916,31912,200,9,4699488,98052,1084804,386696,882460,107284,0,86152,24092,109392,7620,319664,1020,"-1,087795395","3,1556671353","6,8234262911","0,9918206809","-3,351159574","-2,256036568","2,8647160378","0,106095142","4,6694129316",38
170344,170340,31144,31140,200,43,4471580,94884,1259568,597900,891332,459632,0,134504,29956,116216,8024,365692,1530,"5,7407913128","13,75418059","37,024921724","4,9436859353","-14,53111685","-3,471240341","-0,159939295","12,694895396","4,4705393899",39
153484,151436,26612,26468,160,20,5044360,83684,732680,365572,576940,115360,0,126116,28324,91172,7984,347336,2040,"-1,011773962","12,154811327","17,967755664","5,085142362","-7,617361678","-0,858754745","-2,26229041","-2,034023141","-5,82494004",40
